event_type,day,device_id,player,login,channel,context
follow,2016-12-05 13:41:34,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,siraza,
follow,2017-01-07 09:04:45,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,asusrog,
follow,2017-02-01 13:14:34,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,skyyart,
follow,2017-02-06 08:42:26,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,faker,
follow,2017-02-07 10:08:40,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,quinnmastermind,
follow,2017-02-09 13:14:30,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,esl_d4rknex,
follow,2017-03-03 13:07:40,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,riotgamesfr,
follow,2017-03-05 04:01:14,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,eclypsiatv,
follow,2017-05-01 12:28:49,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,bibixhd,
follow,2017-06-04 14:36:10,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,wankilstudio,
follow,2017-07-29 15:39:46,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,shaunzpro,
follow,2017-10-27 23:31:40,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,solary,source=channel
follow,2018-02-04 10:03:01,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,corobizar,source=channel
unfollow,2018-03-03 08:24:10,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,lestream,
follow,2018-03-03 08:24:14,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,lestream,source=channel
follow,2018-11-11 11:37:15,6ef55429945bde73,web,karrris,mistermv,source=channel
follow,2018-11-27 13:36:11,b0b58dc9e6ad4cd9b74597548dd92252,android,karrris,cyrilsk,source=profile
unfollow,2019-05-13 04:11:20,6ef55429945bde73,web,karrris,ogaminglol,source=channel
unfollow,2019-05-22 11:55:37,6ef55429945bde73,web,karrris,siraza,source=channel
follow,2019-09-03 12:43:03,6ef55429945bde73,web,karrris,kamet0,source=channel
follow,2019-09-14 00:47:16,6ef55429945bde73,web,karrris,mickalow,source=channel
follow,2019-12-07 11:56:23,6ef55429945bde73,web,karrris,antoinedaniellive,source=channel
unfollow,2019-12-07 11:56:24,6ef55429945bde73,web,karrris,antoinedaniellive,source=channel
follow,2019-12-07 11:56:27,6ef55429945bde73,web,karrris,antoinedaniellive,source=channel
follow,2020-02-04 03:25:35,2dbe4e14a29c3c7b,web,karrris,ponce,source=channel
follow,2020-02-17 12:25:43,8cb6db5fa09341549a2f5fcc53b2709f,android,karrris,etoiles,source=channel
follow,2020-02-25 07:55:10,b31dfbc31639d7d0,web,karrris,locklear,source=channel
unfollow,2020-02-25 07:55:11,b31dfbc31639d7d0,web,karrris,locklear,source=channel
follow,2020-02-25 07:55:16,b31dfbc31639d7d0,web,karrris,locklear,source=channel
unfollow,2020-02-25 07:55:27,b31dfbc31639d7d0,web,karrris,locklear,source=channel
unfollow,2020-02-25 07:55:30,b31dfbc31639d7d0,web,karrris,locklear,source=channel
follow,2020-02-25 07:55:32,b31dfbc31639d7d0,web,karrris,locklear,source=channel
follow,2020-03-16 10:45:21,8cb6db5fa09341549a2f5fcc53b2709f,android,karrris,ogn_empires,source=channel
follow,2020-03-26 01:40:26,b31dfbc31639d7d0,web,karrris,joyca,source=channel
unfollow,2020-03-29 10:41:03,b31dfbc31639d7d0,web,karrris,zerator,source=channel
follow,2020-03-29 10:41:05,b31dfbc31639d7d0,web,karrris,zerator,source=channel
follow,2020-03-30 02:21:06,b31dfbc31639d7d0,web,karrris,xguizmo67,source=channel
follow,2020-03-31 05:59:02,b31dfbc31639d7d0,web,karrris,velocidroneracingleague,source=channel
follow,2020-03-31 05:59:03,b31dfbc31639d7d0,web,karrris,velocidroneracingleague,source=channel
follow,2020-04-03 23:48:53,b31dfbc31639d7d0,web,karrris,wipr,source=channel
follow,2020-04-04 07:38:02,b31dfbc31639d7d0,web,karrris,sofyanlive,source=channel
follow,2020-04-09 05:20:27,b31dfbc31639d7d0,web,karrris,eublepharistv,source=channel
follow,2020-04-27 12:34:59,b31dfbc31639d7d0,web,karrris,scream,source=channel
follow,2020-05-13 03:56:30,8cb6db5fa09341549a2f5fcc53b2709f,android,karrris,stephcouchoud,source=channel
