event_type,day,device_id,player,user_login,channel_name,context
minuteswatched,2015-03-30 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,coopgameplays,1
minuteswatched,2015-03-30 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,mastersnakou,2
minuteswatched,2015-03-30 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,tsukiyopower,8
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,bowtieinmotion,3
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,cyanide,3
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,korvetru,16
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,korvetru,6
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,korvetru,9
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,korvetru,1
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,korvetru,2
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,lancewinnfield,27
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,lancewinnfield,1
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,lancewinnfield,16
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,lancewinnfield,2
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,lancewinnfield,4
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,lebledart,6
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,libertygamingo,7
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,libertygamingo,2
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,libertygamingo,3
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,libertygamingo,6
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,libertygamingo,10
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,mastersnakou,20
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,moutso14,2
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,moutso14,3
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,moutso14,1
minuteswatched,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,noturie,13
