event_type,day,device_id,player,user_login,channel_name,context
pageview,2015-03-30 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,coopgameplays,
pageview,2015-03-30 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,cyanide,
pageview,2015-03-30 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,ogaminglol,
pageview,2015-03-30 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,tsukiyopower,
pageview,2015-03-30 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,bowtieinmotion,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,chatounbis4,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,cyanide,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,korvetru,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,lancewinnfield,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,lebledart,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,libertygamingo,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,mastersnakou,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,moutso14,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,noturie,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,ogaminglol,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,riotgames,
pageview,2015-03-31 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,,
pageview,2015-04-01 00:00:00,a59394f9abfb45c5a04f02153a0ff2bf,android,karrris,aiekillu,
